station,date,type,name,remarks
DLF1,2011-04-16T00:00Z,ANT,LEIAR25.R3      LEIT, 
DLFT,2007-01-01T00:00Z,REC,JPS LEGACY          , 
DLFT,2007-01-01T00:00Z,ANT,JPSREGANT_DD_E  NONE, 
DRAC,2005-04-28T00:00Z,REC,GNREF               ,Added by HM
DRAC,2006-05-14T00:00Z,REC,TPS GB-1000         ,NAM dataset 
DRAC,2007-09-23T00:00Z,   ,TPS GB-1000         ,06GPS dataset
DRAC,2005-04-28T00:00Z,ANT,GPPNULLANTENNA      ,Added by HM
DRAC,2006-05-14T00:00Z,ANT,TPSCR3_GGD      CONE,NAM dataset
DRAC,2007-09-23T00:00Z,   ,TPSCR3_GGD      CONE,06GPS dataset
DRAC,2016-09-16T00:00Z,ANT,TPSCR.G5        TPSH, 
DW16,2013-10-10T11:30Z,REC,TPS EG3_OEM         , 
DW16,2013-10-10T11:30Z,ANT,TPSCR.G5        TPSH, 
DW26,2013-10-10T11:38Z,REC,TPS EG3_OEM         , 
DW26,2013-10-10T11:38Z,ANT,TPSCR.G5        TPSH, 
DZY1,2014-03-19T00:00Z,REC,TPS EG3_OEM         , 
DZY1,2014-03-19T00:00Z,ANT,TPSCR.G5        TPSH, 
DZYL,2005-09-20T00:00Z,REC,TPS ODYSSEY_E       ,Mod init date by HM
DZYL,2014-09-18T06:02Z,REC,LEICA GR25          , 
DZYL,2016-07-14T00:00Z,REC,TRIMBLE NETR9       , 
DZYL,2005-09-20T00:00Z,ANT,TPSPG_A1+M      NONE,Mod init date by HM
DZYL,2014-09-18T06:02Z,ANT,LEIAR20+S10     LEIM, 
DZYL,2015-06-19T06:02Z,DPL,                    ,Added 24sep2019 by HM
DZYL,2016-07-14T00:00Z,DPL,                    ,Added 24sep2019 by HM
EBRG,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
EBRG,2014-10-10T00:00Z,REC,LEICA GR25          , 
EBRG,2016-07-28T00:00Z,REC,TRIMBLE NETR9       , 
EBRG,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
EBRG,2014-10-10T00:00Z,ANT,LEIAR20+S10     LEIM, 
EEMS,2014-02-18T11:42Z,REC,TPS EG3_OEM         , 
EEMS,2014-02-18T11:42Z,ANT,TPSCR.G5        TPSH, 
EHVN,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
EHVN,2014-12-07T20:06Z,REC,LEICA GR25          , 
EHVN,2016-08-17T00:00Z,REC,LEICA GR50          , 
EHVN,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
EHVN,2014-11-21T00:00Z,ANT,LEIAR20+S10     LEIM, 
EIJS,2007-01-01T00:00Z,REC,TRIMBLE 4700        , 
EIJS,2007-12-17T00:00Z,REC,TPS ODYSSEY_E       , 
EIJS,2014-04-23T00:00Z,REC,SEPT POLARX4        , 
EIJS,2007-01-01T00:00Z,ANT,TRM29659.00     UNAV, 
EIJS,2014-04-15T00:00Z,ANT,LEIAR25.R4      LEIT, 
EMMN,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
EMMN,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
EPL1,2017-01-01T00:00Z,REC,LEICA GR50          , 
EPL1,2017-01-01T00:00Z,ANT,LEIAR20+S10     LEIM, 
EUSK,2007-01-01T00:00Z,REC,TRIMBLE 4000SSI     , 
EUSK,2009-11-18T00:00Z,REC,LEICA GRX1200GGPRO  , 
EUSK,2014-03-26T00:00Z,REC,LEICA GR25          , 
EUSK,2018-01-30T00:00Z,REC,LEICA GR50          , 
EUSK,2007-01-01T00:00Z,ANT,TRM29659.00     NONE, 
EUSK,2009-11-18T00:00Z,ANT,LEIAT504GG      LEIS, 
EUSK,2014-03-26T00:00Z,ANT,LEIAR25.R4      LEIT, 
FROO,2014-02-28T10:27Z,REC,TPS EG3_OEM         , 
FROO,2014-02-28T10:27Z,ANT,TPSCR.G5        TPSH, 
GRIJ,2014-02-11T14:15Z,REC,TPS EG3_OEM         , 
GRIJ,2014-02-11T14:15Z,ANT,TPSCR.G5        TPSH, 
HELG,2007-01-01T00:00Z,REC,TPS EUROCARD        , 
HELG,2008-09-04T14:00Z,REC,JPS LEGACY          , 
HELG,2014-09-10T00:00Z,REC,JAVAD TRE_G3TH DELTA, 
HELG,2007-01-01T00:00Z,ANT,ASH700936D_M    SNOW, 
HELG,2008-09-04T14:00Z,ANT,LEIAT504GG      LEIS, 
HELG,2014-09-10T00:00Z,ANT,LEIAR25.R4      LEIT, 
HERS,2007-01-01T00:01Z,REC,ASHTECH Z-XII3      , 
HERS,2010-08-20T00:00Z,REC,SEPT POLARX3ETR     , 
HERS,2007-01-01T00:01Z,ANT,ASH700936E      NONE, 
HERS,2010-08-20T00:00Z,ANT,LEIAR25.R3      NONE, 
HHOL,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
HHOL,2014-11-14T00:00Z,REC,LEICA GR25          , 
HHOL,2016-11-21T00:00Z,REC,LEICA GR50          , 
HHOL,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
HHOL,2014-11-14T00:00Z,ANT,LEIAR20+S10     LEIM, 
HOOG,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
HOOG,2016-08-12T00:00Z,REC,LEICA GR50          , 
HOOG,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
HOOG,2015-07-09T00:00Z,ANT,LEIAR20+S10     LEIM, 
IJMU,2007-01-01T00:00Z,REC,TRIMBLE 5700        , 
IJMU,2007-02-21T11:12Z,REC,TPS ODYSSEY_E       , 
IJMU,2014-04-24T00:00Z,REC,LEICA GR25          , 
IJMU,2016-07-23T00:00Z,REC,TRIMBLE NETR9       , 
IJMU,2007-01-01T00:00Z,ANT,TRM29659.00     UNAV, 
IJMU,2014-04-24T00:00Z,ANT,LEIAR25.R4      LEIT, 
JOUR,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
JOUR,2014-11-07T06:36Z,REC,LEICA GR25          , 
JOUR,2016-07-13T00:00Z,REC,TRIMBLE NETR9       , 
JOUR,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
JOUR,2014-11-07T06:36Z,ANT,LEIAR20+S10     LEIM, 
KERK,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
KERK,2014-11-13T00:00Z,REC,LEICA GR25          , 
KERK,2016-09-21T00:00Z,REC,LEICA GR50          , 
KERK,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
KERK,2012-01-24T00:00Z,ANT,NAX3G+C+M       NONE, 
KERK,2014-11-13T00:00Z,ANT,LEIAR20+S10     LEIM, 
KOS1,2013-06-18T12:44Z,REC,SEPT POLARX4        , 
KOS1,2013-06-18T12:44Z,ANT,LEIAR25.R3      LEIT, 
KOSG,2007-01-01T00:00Z,REC,AOA SNR-12 ACT      , 
KOSG,2008-08-29T00:00Z,REC,LEICA GRX1200GGPRO  , 
KOSG,2007-01-01T00:00Z,ANT,AOAD/M_B        DUTD, 
KOSG,2011-07-21T00:00Z,ANT,AOAD/M_B        UNKN, 
LELY,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
LELY,2014-10-04T00:00Z,REC,LEICA GR25          , 
LELY,2016-07-27T00:00Z,REC,TRIMBLE NETR9       , 
LELY,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
LELY,2014-10-04T00:00Z,ANT,LEIAR20+S10     LEIM, 
LITH,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
LITH,2016-10-06T00:00Z,REC,LEICA GR50          , 
LITH,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
LITH,2015-07-25T00:00Z,ANT,LEIAR20+S10     LEIM, 
LWRD,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
LWRD,2015-07-14T00:00Z,REC,LEICA GR50          , 
LWRD,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
LWRD,2015-07-04T00:00Z,ANT,LEIAR20+S10     LEIM, 
MAKK,2007-09-23T00:00Z,REC,TPS GB-1000         ,Removed duplicates
MAKK,2015-10-29T00:00Z,REC,TPS E_GGD           , 
MAKK,2007-09-23T00:00Z,ANT,TPSCR.G3        TPSH, 
MAKK,2015-10-29T00:00Z,ANT,TPSCR.G5        TPSH, 
MDBG,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
MDBG,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
MODD,2006-12-14T00:00Z,REC,TPS GB-1000         ,Modif 26sep2019 by HM
MODD,2013-04-18T00:00Z,REC,TPS EG3_OEM         , 
MODD,2006-12-14T00:00Z,ANT,TPSCR3_GGD      CONE,Modif 26sep2019 by HM 
MORP,2007-01-01T00:00Z,REC,ASHTECH Z-XII3      , 
MORP,2007-10-31T11:36Z,REC,TRIMBLE NETRS       , 
MORP,2011-10-16T00:00Z,REC,TRIMBLE NETR8       , 
MORP,2007-01-01T00:00Z,ANT,AOAD/M_T        NONE, 
